Topic_ID,Label,Top_Words
0,Overall Dining Experience,"food, service, staff, friendly, order, price, delicious, fast, restaurant, clean"
1,Traditional Malay Food,"nasi, goreng, ayam, ikan, dagang, lemak, sambal, bakar, mee, kerabu"
2,Location & Ambiance,"food, parking, breakfast, experience, restaurant, kuala, beach, local, roti, area"
3,Malay Review Sentiment,"sedap, makanan, makan, kedai, tak, harga, sini, nak, rasa, lain"
4,Western & Fusion Food,"chicken, taste, food, rice, sauce, portion, delicious, fried, price, chop"
5,Seafood & Local Snacks,"fish, fresh, food, seafood, fried, lekor, taste, keropok, price, dishes"
