Topic_ID,Label,Top_Words
0,Topic 1,"food, service, staff, friendly, order, price, delicious, fast, restaurant, clean"
1,Topic 2,"nasi, goreng, ayam, ikan, dagang, lemak, sambal, bakar, mee, kerabu"
2,Topic 3,"food, parking, breakfast, experience, restaurant, kuala, beach, local, roti, area"
3,Topic 4,"sedap, makanan, makan, kedai, tak, harga, sini, nak, rasa, lain"
4,Topic 5,"chicken, taste, food, rice, sauce, portion, delicious, fried, price, chop"
5,Topic 6,"fish, fresh, food, seafood, fried, lekor, taste, keropok, price, dishes"
